County,Percent_Vacc
Pottawatomie County,37.4
Harrison County,32
Westmoreland County,44
Iron County,36.7
Hertford County,44.4
Tarrant County,52.8
Herkimer County,55.6
Kosciusko County,38.6
Washington County,56.5
Bremer County,56.9
Thomas County,39.3
Hunterdon County,66
Logan County,51.3
Butte County,43.4
Sheridan County,35.7
Anasco Municipio,71
Kingman County,44.9
Lowndes County,48
Indiana County,42
Winnebago County,57.4
Crittenden County,41.4
McNairy County,45.1
Stephenson County,56.6
Unknown County,0
Hopewell city,29.5
Pinellas County,61.5
Clay County,63.8
Clay County,43
Essex County,45
Lee County,21.3
Winchester city,41.9
Whatcom County,67.5
Attala County,50.2
Webster County,45.6
Motley County,26.9
Creek County,40.8
Unicoi County,51.5
Grant County,43.8
Hancock County,64.2
Morgan County,45.9
Caswell County,47.2
Price County,58.9
Morrow County,39.2
Limestone County,34.3
Shelby County,39.2
Menifee County,42.2
Jackson County,34.1
Roosevelt County,35.3
Madison County,51.3
Washington County,46.4
Ross County,47.5
Montgomery County,64.6
Paulding County,40.1
Johnson County,47.1
Freestone County,36.2
Jones County,47.7
Vega Baja Municipio,76.3
Lyman County,57.6
Shawnee County,57.4
Nuckolls County,47.1
Sublette County,32.5
Washakie County,39.9
Gwinnett County,33.2
Nantucket County,1.5
Macoupin County,51.8
Tolland County,63.4
Unknown County,0
Barceloneta Municipio,67.7
Harrison County,51.2
Warren County,46.6
Essex County,68.2
Ector County,39.6
Marion County,50.4
Fayette County,52.2
Cumberland County,34.8
Appomattox County,32.1
Highland County,58.9
Brevard County,60.6
Houston County,40.3
Washington County,50.1
Jefferson County,73.7
Anchorage Municipality,59.3
Habersham County,21.4
Unknown County,0
Hempstead County,36.6
Reeves County,47.3
Clarke County,54.1
Wyandot County,44.9
Young County,39.1
Sagadahoc County,75.2
Lake County,61.7
Carter County,41.1
Codington County,51.1
Bartow County,18.2
Pueblo County,52.8
Philadelphia County,61.2
Bulloch County,27.5
Towns County,16.6
Roosevelt County,62.3
Mercer County,37.3
Oconto County,50.2
Union County,42.6
Grays Harbor County,55.4
Oswego County,56.3
Brown County,52.8
Aransas County,53.8
Yakima County,57.3
Pike County,35.8
Putnam County,68.6
Barnstable County,5.7
Marion County,38.5
Eau Claire County,58.5
Lycoming County,46.6
Collingsworth County,30.9
Moody County,44.9
Comanche County,57.7
Dallas County,33.3
Baltimore County,66.6
Polk County,44.4
Decatur County,39.8
Lincoln County,77.2
Calhoun County,48.3
Deuel County,43.9
Genesee County,47.3
Vigo County,47.5
Montgomery County,43.4
Aroostook County,64.9
Lamb County,40
Dickenson County,44.3
Allegan County,48.8
Vilas County,62.9
Lewis County,33.8
Campbell County,27.5
Georgetown County,51.8
McCulloch County,36.4
Blount County,29.3
Randolph County,31.5
Morgan County,40.8
Liberty County,38.6
Kane County,47.2
Smyth County,45.8
Green County,40.8
Bronx County,66.1
Lyon County,38.9
Nye County,43.8
Albany County,51
Muskegon County,51.6
Beaver County,46.4
Haywood County,54.3
Brown County,62.6
Catano Municipio,66.9
Cape Girardeau County,45.7
Otero County,45.7
Juab County,34.1
Thurston County,62.3
Beadle County,45.9
Ramsey County,53.8
Washington County,46.3
Audrain County,35.7
Howard County,41.4
Orange County,73.4
Gaines County,20.5
Tuscaloosa County,40.9
Richland County,48.9
Andrews County,41.4
Cloud County,45.2
Wood County,40.7
Webb County,78.6
Brantley County,14
Douglas County,30.7
Stone County,36.1
Lincoln County,38.6
Canadian County,54
Ransom County,56.5
Unknown County,0
Dakota County,64.8
Hopkins County,48.4
DeKalb County,52.7
Wabash County,45.1
Cleburne County,41.3
Dillingham Census Area,47.1
Mercer County,51.6
Jackson County,50
Albany County,70.6
Coal County,37.7
Fentress County,32
Trimble County,40.9
Salinas Municipio,71.1
McDowell County,52.6
Coos County,63.1
Kidder County,31.5
Lincoln County,36.9
McIntosh County,36.4
Barnes County,55.3
Mercer County,33.1
Pickens County,45.9
Shelby County,33.7
Harrison County,48.1
Holmes County,17.2
Denver County,71.3
Warren County,39.8
Yuma County,62.9
Benton County,39.6
Steuben County,45.3
Vernon County,52.5
Franklin County,61.3
Rabun County,28.6
Smith County,42.8
Coles County,42.8
Mifflin County,45.6
Lancaster County,58.6
Scotland County,24.8
Madison County,56.7
Williams County,28.3
Lewis County,48.2
San Juan County,76.9
Sheboygan County,58
Raleigh County,53
Pawnee County,41.7
DeSoto County,49.7
Pulaski County,17.4
Kershaw County,53.9
Brown County,38.7
Ocean County,50.9
Wood County,65.5
Jackson County,43.6
Aiken County,44
Marion County,34.4
Merrick County,40.8
Jackson County,45.8
Cherokee County,50.6
McCone County,17.1
Throckmorton County,39.4
Tattnall County,16
Mono County,0
Knox County,34.4
Hardin County,53.4
Bonner County,38.9
Day County,61.3
Bergen County,71.9
Bartholomew County,55.9
Morgan County,39.5
Ohio County,47.9
Unknown County,0
Lampasas County,44.1
Hartley County,45.4
Logan County,63.4
Ward County,34.6
Logan County,32
Cass County,33.2
Lowndes County,28.2
Hardin County,38.4
Van Buren County,53.2
Wetzel County,46.2
Greenlee County,39.9
Martin County,52.3
Vanderburgh County,54.7
Clermont County,53.5
Vermilion County,42.7
Lincoln County,50.7
Unknown County,0
Hamilton County,49.5
Bristol County,60.8
Izard County,35.7
Alachua County,62.7
Union County,52.8
Garfield County,60.4
Wirt County,30.9
Putnam County,15.7
Gila County,54.8
Teton County,55.3
Clear Creek County,46.7
Niagara County,63
Charlotte County,37.4
Lynchburg city,30.4
Jackson Parish,39.1
Clay County,41.7
Rowan County,41.4
Wapello County,46.8
Unknown County,0
Hernando County,52
Arkansas County,52.6
Ada County,54.1
Logan County,36
Monroe County,53.2
McCracken County,52.4
Dickey County,50.7
Crawford County,44.6
Peach County,17
Wayne County,34.3
Carroll County,59.4
Sumter County,40.8
Ogemaw County,43
Franklin County,58
Wilbarger County,48.9
Luna County,67.1
Cook County,35.9
Kusilvak Census Area,64.2
Covington city,0
Winn Parish,42.4
Riverside County,53.8
Milam County,42.3
Jefferson County,48.1
Schoolcraft County,53.6
Berkeley County,56.7
Dubuque County,61.2
Lake County,56.8
Foard County,40.8
Polk County,39.8
Unknown County,0
Hancock County,72.8
Lavaca County,39.6
Yamhill County,59.9
Unknown County,0
Dallas County,53.7
Lewis County,32.4
Worth County,19.4
Iosco County,54.1
Independence County,38.2
Blair County,47.3
Fannin County,41.1
Brazoria County,54.1
Polk County,42.2
Chittenden County,69.2
Benzie County,63.9
Broward County,66.9
Mason County,56.5
Carter County,38.2
Mercer County,36.3
Nemaha County,47.1
Jefferson County,47.2
Red River County,39.1
Cape May County,69.6
Sherman County,55.3
Becker County,51.3
Lincoln Parish,40.2
Stokes County,43.7
Knox County,40.8
Chambers County,43.8
Haskell County,38.7
Litchfield County,71.9
Leon County,33.6
Osage County,32.8
Hamilton County,34.6
Laramie County,50.1
Tift County,22.6
Powell County,43.3
Dixon County,40.7
Neshoba County,37.8
Hubbard County,45.1
Unknown County,0
Yakutat City and Borough,73.4
Northwest Arctic Borough,54.9
Cavalier County,57.9
Tioga County,56.9
Walton County,24.8
Wyoming County,48.6
Madison County,57.4
Prince William County,67.2
Fulton County,33.4
Walla Walla County,60.4
Franklin County,60.3
Greenbrier County,68.9
Spink County,49.7
Dakota County,59.4
Faulkner County,45.8
Petersburg city,33.4
