Vaccine,Geography Type,Geography,FIPS,Survey Year,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Pneumococcal,States/Local Areas,Alabama,01,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",28.3,19.4 to 37.3,550
Pneumococcal,States/Local Areas,Alaska,02,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,11
Pneumococcal,States/Local Areas,Arizona,04,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,21
Pneumococcal,States/Local Areas,Arkansas,05,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",17.3,10.1 to 24.5,235
Pneumococcal,States/Local Areas,California,06,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.9,16.5 to 33.4,143
Pneumococcal,States/Local Areas,Colorado,08,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",29.4,13.7 to 45.0,68
Pneumococcal,States/Local Areas,Connecticut,09,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",19.3,8.1 to 30.5,104
Pneumococcal,States/Local Areas,Delaware,10,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",25.0,14.9 to 35.1,140
Pneumococcal,States/Local Areas,District of Columbia,11,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",23.4,18.4 to 28.4,485
Pneumococcal,States/Local Areas,Florida,12,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.6,14.8 to 34.3,233
Pneumococcal,States/Local Areas,Georgia,13,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",23.8,16.4 to 31.1,355
Pneumococcal,States/Local Areas,Hawaii,15,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,6
Pneumococcal,States/Local Areas,Idaho,16,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,5
Pneumococcal,States/Local Areas,Illinois,17,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.5,16.1 to 32.9,162
Pneumococcal,States/Local Areas,IL-City of Chicago,171,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.7,14.1 to 35.4,105
Pneumococcal,States/Local Areas,IL-Cook County,1711,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.7,14.1 to 35.4,105
Pneumococcal,States/Local Areas,IL-Rest of state,172,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",24.2,10.7 to 37.6,56
Pneumococcal,States/Local Areas,Indiana,18,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",26.7,14.3 to 39.1,213
Pneumococcal,States/Local Areas,Iowa,19,2008,18-64 Years at Increased Risk,"Black, Non-Hispanic",NR,,34
