Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity
11/17/2021,19149,46,Plymouth County,IA,48.3,12168,12168,57.6,11528,61.1,3917,83.9,97.4,12921,51.3,12857,60.9,12175,64.5,4077,87.4,A,3,4,4,4,Metro,3,4,4,4
11/17/2021,1021,46,Chilton County,AL,31.9,14178,14177,37.8,13447,39.7,4688,61.7,92.6,17431,39.2,17413,46.5,16523,48.8,5480,72.1,D,14,14,14,15,Metro,2,2,2,3
11/17/2021,20167,46,Russell County,KS,39.8,2727,2727,46.8,2636,49.1,1112,65.6,93.6,3013,43.9,3002,51.6,2894,53.9,1197,70.7,A,2,3,3,3,Non-metro,6,7,7,7
11/17/2021,36031,46,Essex County,NY,65.8,24262,24262,73.1,22876,73.8,7418,82.9,97.6,25992,70.5,25723,77.5,24189,78.1,7853,87.8,B,8,8,8,8,Non-metro,8,8,8,8
11/17/2021,16017,46,Bonner County,ID,37.8,17308,,,17267,47,7946,68.4,97.6,19484,42.6,,,19428,52.9,8714,75,A,2,3,3,3,Non-metro,6,7,7,7
11/17/2021,21063,46,Elliott County,KY,32.5,2446,2446,36.8,2345,37.9,675,44.1,93.9,2695,35.9,2687,40.4,2566,41.5,717,46.9,C,10,10,10,10,Non-metro,6,6,6,6
11/17/2021,29125,46,Maries County,MO,35.3,3068,3068,40.4,2933,42.2,1108,57.8,91.2,3374,38.8,3364,44.3,3201,46.1,1169,61,C,10,11,11,11,Non-metro,6,7,7,7
11/17/2021,27169,46,Winona County,MN,58.7,29622,29557,66.1,27783,66.9,8933,99.9,94.4,32458,64.3,31759,71.1,29891,72,9833,99.9,A,4,4,4,4,Non-metro,8,8,8,8
11/17/2021,22035,46,East Carroll Parish,LA,41,2811,2811,48.8,2672,51.2,873,83.4,96.7,3115,45.4,3110,54.0,2935,56.2,906,86.5,D,15,15,16,16,Non-metro,7,7,8,8
11/17/2021,18173,46,Warrick County,IN,58.4,36772,36771,68.5,34235,71,10618,94.2,98.7,39646,62.9,39363,73.3,36543,75.8,11061,98.1,A,4,4,4,4,Metro,4,4,4,4
11/17/2021,42053,46,Forest County,PA,69.3,5020,5020,73,4970,76.8,1334,80.8,94.5,5656,78,5651,82.1,5593,86.5,1668,99.9,C,12,12,12,12,Non-metro,8,8,8,8
11/17/2021,18045,46,Fountain County,IN,43,7024,7023,50,6783,53,2924,88.1,98.7,7604,46.5,7590,54.1,7306,57.1,3037,91.5,A,3,4,4,4,Non-metro,7,8,8,8
