state_name,county_name,fips_code,report_date,cases_per_100K_7_day_count_change,percent_test_results_reported_positive_last_7_days,community_transmission_level
Alabama,Barbour County,1005,2021/11/17,133.680,3.70,high
Alabama,Chilton County,1021,2021/11/17,137.300,4.25,high
Alabama,Choctaw County,1023,2021/11/17,119.150,0.00,high
Alabama,Clay County,1027,2021/11/17,98.220,8.04,substantial
Alabama,Cleburne County,1029,2021/11/17,87.190,2.04,substantial
Alabama,Colbert County,1033,2021/11/17,79.650,6.52,substantial
Alabama,Henry County,1067,2021/11/17,81.370,6.02,substantial
Alabama,Jefferson County,1073,2021/11/17,24.750,2.71,moderate
Alabama,Lauderdale County,1077,2021/11/17,70.100,4.71,substantial
Alabama,Lee County,1081,2021/11/17,38.290,5.12,moderate
Alabama,Limestone County,1083,2021/11/17,118.280,5.26,high
Alabama,Marengo County,1091,2021/11/17,74.220,6.50,substantial
Alabama,Monroe County,1099,2021/11/17,suppressed,2.27,moderate
Alabama,Montgomery County,1101,2021/11/17,44.150,3.53,moderate
Alabama,Randolph County,1111,2021/11/17,52.810,2.54,substantial
Alabama,Shelby County,1117,2021/11/17,35.370,3.62,moderate
Alaska,Bethel CA,2050,2021/11/17,"1,109.540",0.00,high
Alaska,Bristol Bay Borough,2060,2021/11/17,0.000,,low
Alaska,Dillingham CA,2070,2021/11/17,284.780,,high
Alaska,Fairbanks North Star Borough,2090,2021/11/17,294.270,8.72,high
Alaska,Kodiak Island Borough,2150,2021/11/17,276.970,2.38,high
Alaska,Sitka Cty&Bor,2220,2021/11/17,suppressed,1.10,high
Alaska,Yukon-Koyukuk CA,2290,2021/11/17,401.530,,high
Arizona,Apache County,4001,2021/11/17,321.340,11.47,high
Arizona,Maricopa County,4013,2021/11/17,331.470,12.47,high
Arkansas,Benton County,5007,2021/11/17,134.340,8.44,high
Arkansas,Clay County,5021,2021/11/17,144.320,0.00,high
Arkansas,Columbia County,5027,2021/11/17,suppressed,4.88,moderate
Arkansas,Crawford County,5033,2021/11/17,91.690,12.21,high
Arkansas,Faulkner County,5045,2021/11/17,159.510,7.26,high
Arkansas,Fulton County,5049,2021/11/17,392.720,4.49,high
Arkansas,Grant County,5053,2021/11/17,suppressed,0.00,moderate
Arkansas,Independence County,5063,2021/11/17,375.410,5.71,high
Arkansas,Izard County,5065,2021/11/17,388.880,8.33,high
Arkansas,Lincoln County,5079,2021/11/17,suppressed,0.00,low
Arkansas,Newton County,5101,2021/11/17,257.960,,high
Arkansas,Phillips County,5107,2021/11/17,suppressed,3.60,moderate
Arkansas,Polk County,5113,2021/11/17,suppressed,33.33,high
Arkansas,Prairie County,5117,2021/11/17,suppressed,,moderate
Arkansas,Pulaski County,5119,2021/11/17,79.100,4.93,substantial
Arkansas,Randolph County,5121,2021/11/17,116.940,,high
Arkansas,St. Francis County,5123,2021/11/17,suppressed,0.00,moderate
Arkansas,Searcy County,5129,2021/11/17,190.330,,high
Arkansas,Union County,5139,2021/11/17,77.560,5.76,substantial
California,Amador County,6005,2021/11/17,115.720,,high
California,Contra Costa County,6013,2021/11/17,53.920,1.88,substantial
California,El Dorado County,6017,2021/11/17,108.380,4.16,high
California,Kings County,6031,2021/11/17,242.580,5.30,high
California,Lassen County,6035,2021/11/17,134.110,,high
California,Mendocino County,6045,2021/11/17,179.830,6.51,high
California,Nevada County,6057,2021/11/17,152.370,5.14,high
California,Plumas County,6063,2021/11/17,260.540,,high
California,Riverside County,6065,2021/11/17,106.900,4.85,high
California,San Benito County,6069,2021/11/17,87.570,3.81,substantial
California,San Luis Obispo County,6079,2021/11/17,81.240,2.88,substantial
California,Santa Barbara County,6083,2021/11/17,76.820,3.08,substantial
California,Santa Clara County,6085,2021/11/17,60.220,1.43,substantial
California,Siskiyou County,6093,2021/11/17,84.980,,substantial
California,Stanislaus County,6099,2021/11/17,146.190,6.12,high
California,Tuolumne County,6109,2021/11/17,271.670,8.25,high
California,Ventura County,6111,2021/11/17,58.160,1.98,substantial
