fips,state,name,pop2017,age_under_5_2017,age_over_65_2017,median_age_2017,black_2017,native_2017,asian_2017,pac_isl_2017,other_single_race_2017,two_plus_races_2017,hispanic_2017,white_not_hispanic_2017,hs_grad_2017,bachelors_2017,median_household_income_2017,poverty_2017,poverty_age_under_5_2017,poverty_age_under_18_2017,uninsured_2017,unemployment_rate_2017
1001,Alabama,Autauga County,55504,5.7,14.3,37.8,9.55,0.15,0.47,0.04,0.65,0.84,2.67,75.42,87.7,25,55317,13.7,17.2,20,8.8,3.86
1003,Alabama,Baldwin County,212628,5.7,19,42.6,4.77,0.41,0.35,0,0.39,0.82,4.44,83.08,90.2,30.7,52562,11.8,19.4,15.9,10.8,3.99
1005,Alabama,Barbour County,25270,5.5,17.4,39.7,24.02,0.1,0.31,0,1.87,0.41,4.21,45.74,73.1,12,33368,27.2,56.8,44.9,12.3,5.9
1007,Alabama,Bibb County,22668,5.7,15.1,39.8,11.03,0.18,0,0,0.02,0.42,2.35,74.62,82.1,13.2,43404,15.2,21.6,25.9,8.1,4.39
1009,Alabama,Blount County,58013,6.1,17.4,40.9,0.79,0.18,0.07,0,0.37,0.85,9.01,87.37,79.8,13.1,47412,15.6,29.5,25.3,11,4.02
1011,Alabama,Bullock County,10309,5.8,15.2,40.8,37.82,0.52,0.35,0,0.01,0.33,0.33,21.61,71.4,13.4,29655,28.5,59.7,50.2,14.1,4.93
1013,Alabama,Butler County,19825,5.9,18.5,40.7,22.43,0.03,0.56,0,0.03,0.74,0.32,52.25,81.1,16.1,36326,24.4,30.1,34.8,11.4,5.49
1015,Alabama,Calhoun County,114728,5.7,16.5,39.1,10.27,0.18,0.5,0,0.63,1.14,3.57,72.72,83.2,17.9,43686,18.6,31.1,26.3,10.4,4.93
1017,Alabama,Chambers County,33713,6.1,18.6,43,19.67,0.14,0.5,0,0.35,0.49,2.15,56.19,80.9,13.3,37342,18.8,31.9,28.9,12.2,4.08
1019,Alabama,Cherokee County,25857,4.5,21,46.1,2.49,0.24,0.1,0,0.1,0.52,1.58,91.78,79.5,12.5,40041,16.1,12.8,20.1,9,4.05
1021,Alabama,Chilton County,44067,6.5,15.5,38.9,4.78,0.29,0.21,0,2.19,0.87,7.7,80.37,81.8,15.1,43501,19.4,30.9,27.6,14.8,4.05
1023,Alabama,Choctaw County,12945,5,21.5,45.8,21.17,0.02,0.03,0,0.03,0.49,0.54,56.26,80.1,11.6,32122,22.3,25.5,32.8,11,6.39
1025,Alabama,Clarke County,24083,5.5,18.5,42.2,22.83,0.03,0.26,0.04,0,0.22,0.24,53.02,81.5,13,33827,25.3,35.1,30.3,10.9,8.48
1027,Alabama,Clay County,13367,5,19.5,43.8,7.38,0.45,0.02,0,0.09,0.49,3.11,80.2,73.3,10.3,37287,19.1,33.6,23.2,13.2,4.37
1029,Alabama,Cleburne County,14900,5.9,18.5,41.7,1.42,0.14,0.27,0,0.17,0.71,2.38,92.66,75.8,12.4,37396,19.1,32.8,30.2,14.4,4.46
1031,Alabama,Coffee County,51874,6.2,16,39.3,8.65,0.53,0.65,0,0.43,1.61,6.66,71,85.4,22.7,49821,16.1,31.5,26,10.5,4.39
1033,Alabama,Colbert County,54500,5.7,18.9,42.5,8.01,0.37,0.25,0.02,0.57,0.99,2.41,78.77,83.9,18.8,45477,16.8,30.5,24,8.6,5.21
1035,Alabama,Conecuh County,12469,6.3,21.1,44.5,23.24,0.08,0.02,0,0.01,0.98,1.83,50.3,79,8.8,30434,26.4,47.5,39.2,15.7,6.14
1037,Alabama,Coosa County,10754,3.5,21,45.9,16.61,0.04,0,0,0,0.64,0.15,65.27,76.8,11,34792,14.4,10.3,17.9,10,4.62
1039,Alabama,Covington County,37092,5.8,20.3,43.4,6.58,0.17,0.21,0.01,0.1,0.61,1.56,83.48,82,15.5,39467,17.6,21.9,24.6,11.8,5.24
1041,Alabama,Crenshaw County,13871,5.7,17.9,41.4,11.8,0.41,0.7,0,0.51,0.85,1.82,71.2,79.3,16.3,38937,17.6,28.5,21.5,10.7,4.47
1043,Alabama,Cullman County,82755,6,17.8,40.6,0.58,0.21,0.32,0,0.44,0.67,4.24,92.33,82.1,14.9,40997,16.4,22.5,19.4,13.4,3.71
1045,Alabama,Dale County,49226,6.6,15.8,37.1,9.72,0.26,0.51,0.01,0.89,1.96,6.06,69.46,86,16.8,44711,19.6,33.6,27.1,12.3,4.43
1047,Alabama,Dallas County,39215,6.2,16.3,39.3,35.18,0.02,0.22,0.03,0.11,0.33,1,27.74,81.3,14.2,30065,31.9,53.8,49.1,12.1,7.53
1049,Alabama,DeKalb County,71617,6,16,39,0.73,0.68,0.15,0.45,3.65,1.21,14.3,80.78,73.6,13,38842,21.5,31.8,30.9,15.1,4.49
1051,Alabama,Elmore County,81677,5.8,14.1,38.5,10.7,0.17,0.28,0,0.47,0.78,2.86,73.42,86.4,22.8,54981,13.5,26.6,20,7.7,3.64
1053,Alabama,Escambia County,37447,5.8,17,39.6,16.12,1.82,0.2,0.07,0.43,0.67,2.15,60.23,81,12.1,35026,23.8,30.6,33.2,15.6,5.03
1055,Alabama,Etowah County,102755,5.6,17.8,40.9,7.78,0.35,0.34,0.03,0.31,0.74,3.68,78.3,83.1,16.9,42064,17.9,31.7,28.5,11.7,4.57
1057,Alabama,Fayette County,16468,5.5,20,43.6,6.06,0,0.23,0,0,0.96,1.66,85.03,79.6,14.6,36541,18.1,37.5,24.7,8.3,4.73
1059,Alabama,Franklin County,31495,6,16.3,37.7,2.42,0.46,0.19,0.05,3.55,0.39,16.33,77.68,76.4,13.4,39501,23,53,41.5,12,4.23
1061,Alabama,Geneva County,26421,5.5,19,42.7,4.59,0.34,0.2,0,0.52,1.05,3.78,83.99,79,11.1,39293,22.5,30.2,37.5,13.9,4.27
1063,Alabama,Greene County,8330,6,19.4,42,40.16,0.32,0,0,0,0.98,1.18,17.1,76.6,11.4,20954,38.8,69.3,67.8,13.1,7.66
1065,Alabama,Hale County,14812,6.3,18.1,39.8,29.35,0.08,0.09,0,0.59,0.13,1.31,39.51,81.1,14.4,34679,26.1,47.2,37.7,10.7,5.89
1067,Alabama,Henry County,17147,5.4,21,43.5,13.92,0.01,0,0,0.14,0.44,2.54,68.71,80.6,17.1,45569,13.7,14.7,16.8,10.8,4.87
1069,Alabama,Houston County,104346,6.1,16.5,39.6,13.37,0.19,0.43,0.01,0.28,1,3.23,67.2,85.3,20.9,42803,18.5,36.4,29.4,11,4.34
1071,Alabama,Jackson County,51909,5.3,18.7,43,1.62,0.55,0.23,0.06,0.59,1.44,2.85,89.32,81.4,13.4,39281,19,23,27.4,10.6,4.77
1073,Alabama,Jefferson County,659197,6.5,14.6,37.6,21.29,0.12,0.77,0.01,0.98,0.79,3.74,50.38,89.4,31.9,49321,17.6,29.5,25.5,10.3,4.24
1075,Alabama,Lamar County,13946,4.8,20.6,44.5,5.42,0.16,0,0,0.39,0.3,1.51,86.02,79.5,13.3,36016,23.1,61,36.9,10.6,4.23
1077,Alabama,Lauderdale County,92538,5.1,18.9,41.5,5.03,0.18,0.34,0.01,0.15,0.84,2.47,84.9,85.9,22.5,44888,16.3,25.1,21.5,10.3,4.61
1079,Alabama,Lawrence County,33049,5.5,16.8,42,5.71,2.6,0.03,0,0,2.64,2.11,76.58,78,10.2,43779,16.6,16.2,18.8,9.7,4.88
1081,Alabama,Lee County,161604,5.9,10.8,31,11.54,0.05,1.92,0,0.63,0.9,3.71,67.6,89.9,34.9,47564,22,26.9,23.6,8.7,3.91
1083,Alabama,Limestone County,94402,5.8,14.3,39.1,6.57,0.39,0.64,0.03,0.51,1.07,5.81,77.19,83.7,24.6,52831,14.8,21.7,19.5,11.2,3.98
1085,Alabama,Lowndes County,10076,6.3,17.4,40.7,37.26,0.04,0,0,0,0.35,0.69,24.27,76,13.7,29785,30.2,44.3,48.1,12.3,8
1087,Alabama,Macon County,18755,4.9,17.8,38,41.08,0.14,0.1,0,0.38,0.4,1.63,15.46,81.6,20.1,32308,25.9,52.4,39,10.1,5.78
1089,Alabama,Madison County,361046,5.8,14,38.2,12.08,0.31,1.28,0.05,0.53,1.48,4.74,65.15,90.8,40.6,61318,13.6,27,19.7,9.7,3.85
1091,Alabama,Marengo County,19375,6.1,18.7,42.1,27.07,0.03,0,0,0.13,0.09,0.45,45.12,83.2,15.4,32255,25.6,43.9,36.5,10.7,5.65
1093,Alabama,Marion County,29833,5.1,20.4,44.1,1.67,0.21,0.16,0,0.39,0.94,2.47,91.95,80.7,13.4,35719,17.6,29.7,23.5,9.6,4.79
1095,Alabama,Marshall County,95548,6.7,16.6,38.8,1.1,0.35,0.28,0.03,1,0.93,13.3,81.77,80,17.7,41104,21,38.5,33.8,15.4,3.8
1097,Alabama,Mobile County,413955,6.6,14.9,37.3,17.67,0.31,0.98,0.01,0.47,0.94,2.76,57.54,86.3,23,45802,19.3,34.3,29.1,12.1,5.18
1099,Alabama,Monroe County,21327,5.9,18.6,41.7,20.76,0.63,0.27,0,0,0.81,1.32,54.46,83,12.5,26036,33.7,54.3,43.5,15,6.74
1101,Alabama,Montgomery County,226646,6.8,13.7,35.9,28.64,0.09,1.23,0.01,0.6,0.92,3.36,35.19,85.7,32.3,46545,20.8,37.3,31.9,11.1,4.3
1103,Alabama,Morgan County,118818,5.9,16.3,40.1,6.21,0.28,0.33,0.02,1.48,1.09,7.96,76.37,82.5,20.9,47529,16.6,27.7,24.3,11.2,4.11
1105,Alabama,Perry County,9339,5.8,18.5,37.6,34.79,0.04,0.12,0,0.21,0,0.69,29.37,80,16.9,22973,41.9,65.4,60.8,14.2,7.94
1107,Alabama,Pickens County,20176,5.6,18.1,42.1,20.3,0.05,0.03,0.02,0.82,0.74,4.1,54.11,79.8,11.8,36220,22.9,36.6,34.8,8.9,5.29
1109,Alabama,Pike County,33267,5.6,14.3,31.4,19,0.32,1.1,0,0.03,1.02,0.85,56.36,81.1,24.7,35684,26.3,41.3,34.1,8.8,4.88
1111,Alabama,Randolph County,22670,5.6,19.7,42.7,9.99,0.11,0.08,0.08,0.34,0.93,2.95,75.26,78.6,14.6,39485,18.7,40,29.6,12.3,4.4
1113,Alabama,Russell County,57045,7.4,13,35.3,21.33,0.18,0.36,0.12,0.75,1.98,5.22,47.8,82.9,16.9,38988,20.9,29.3,28.7,13.8,4.3
1115,Alabama,St. Clair County,88199,6,15.5,40.1,4.67,0.14,0.42,0.01,0.39,0.64,2.3,86.24,84.2,16,53483,13.7,15,16.9,7.9,3.97
1117,Alabama,Shelby County,213605,6,13.7,38.5,5.91,0.11,0.95,0.01,1.75,0.89,5.77,78.51,92.1,42.2,74063,8.3,10,9.9,7.4,3.23
1119,Alabama,Sumter County,12687,5.3,16.4,35.9,35.42,0.26,1.5,0,0.21,0.25,0.26,24.59,82.7,18.2,21663,36,49.6,47.4,16.9,6.54
