State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer
United States,503521625,151665,194967,412856169,124356,385070182,149102,220145796,66.3,205012732,79.4,190402262,57.4,177883133,68.9,282891975,196341600,24268700,19350,15415408,154526345,242485197,429219,69820278,105293042,15172407,116535,69740455,92883992,15144684,114002,175343725,66.3,205012732,79.4,52.8,162851417,63.1,220145796,52627847,96.2,46294318,84.6,26181713,27892038,3263131,50846,106305062,194354,920572,219911449,77.6,190269066,67.1,69816764,105166567,15169279,116456,412489101,145475,177580,12472219,6.6,12448305,7,10284354,22.2,7759894,16.8,1780951,10672558,12989,5721
Alaska,1131045,154610,205062,852106,116480,791260,143458,431007,58.9,398608,72.3,382206,52.2,354738,64.3,613965,444680,72400,0,35911,324089,491524,582,144385,204181,33568,72,143995,177245,33431,67,348909,58.9,398608,72.3,47.7,321575,58.3,431007,80610,88,75011,81.9,41516,30456,3220,29,168966,184485,1234930,429653,70.6,381334,62.6,144381,203315,33566,72,849859,139578,185759,39974,10.5,39810,11.2,28195,37.6,16922,22.6,N/A,N/A,N/A,N/A
Alabama,7062480,144039,185130,4759947,97079,4513987,118326,2648588,54,2508443,65.8,2174923,44.4,2068877,54.2,3605040,3139940,317500,0,141226,2057399,2561171,151,926095,1104989,143400,439,925661,999461,143317,438,2033012,54,2508443,65.8,41.5,1927046,50.5,2648588,746465,87.8,647865,76.2,342771,271794,34800,289,1435776,168947,831039,2648182,63.2,2174838,51.9,926084,1104924,143391,439,4759497,113676,168681,147525,6.8,147193,7.1,124331,19.2,93543,14.4,N/A,N/A,N/A,N/A
Arkansas,4326450,143364,186674,3174437,105190,2959111,127677,1735828,57.5,1615052,69.7,1435635,47.6,1340397,57.8,2241090,1882560,202800,0,101064,1332506,1737841,3026,606329,728308,100252,746,605253,634690,99737,717,1336123,57.5,1615052,69.7,44.3,1241369,53.6,1735828,458879,87.6,393094,75,223847,161051,15339,420,895710,170976,825844,1731976,67.7,1434123,56.1,606318,726928,100133,744,3169144,123928,169184,102338,7.1,102141,7.6,80821,20.6,59698,15.2,N/A,N/A,N/A,N/A
American Samoa,70650,126865,162882,65441,117512,54185,124922,35202,63.2,29178,67.3,30797,55.3,25601,59,49350,20700,600,0,546,17918,46976,1,8281,21961,555,0,8265,16782,554,0,30244,63.2,29178,67.3,54.3,25049,57.7,35202,2902,30.8,2645,28,1119,1501,25,0,5452,57779,748728,35191,74,30790,64.7,8280,21955,555,0,65423,137568,148559,20,0.1,16,0.1,8,0.3,1,0,N/A,N/A,N/A,N/A
Arizona,10503880,144309,186289,8617622,118395,8029818,142411,4426640,60.8,4111569,72.9,3833436,52.7,3573290,63.4,5834400,4189680,479800,0,297771,3403033,4901159,15659,1478901,2061598,288334,4603,1478299,1802526,287915,4550,3547652,60.8,4111569,72.9,48.7,3287912,58.3,4426640,1182952,90.4,1040007,79.5,504136,489955,46876,2470,2515804,192247,802660,4425639,71.3,3833046,61.8,1478876,2061473,288095,4602,8616467,138840,169252,253662,6.6,252885,7.1,212205,20.4,164631,15.8,N/A,N/A,N/A,N/A
Bureau of Prisons,263010,N/A,N/A,236851,N/A,236849,N/A,126382,N/A,126380,N/A,120168,N/A,120167,N/A,139230,110780,13000,0,11975,95495,129351,30,45668,62558,11942,0,45668,62558,11941,0,108288,N/A,126380,N/A,0,108288,0,126382,3561,0,3514,0,1688,1654,172,0,7026,0,0,126380,0,120167,0,45668,62558,11941,0,236849,0,0,1841,1.5,1841,1.5,661,18.8,114,3.2,N/A,N/A,N/A,N/A
California,61500045,155648,200865,53075050,134326,48975716,159959,29182133,73.9,26915210,87.9,23996305,60.7,22160925,72.4,35338905,23232140,2929000,0,1909164,19738323,31413114,14449,8678485,13415409,1898259,4152,8653004,11613345,1890704,3872,22118410,73.9,26915210,87.9,56,20290491,66.3,29182133,5968420,99.9,4797587,82.2,2405947,2217387,190697,1294,11522700,197370,1053420,29100673,86.5,23947277,71.2,8678053,13367186,1897895,4143,52944326,157356,182784,1475028,6.1,1472558,6.6,1150749,24,842775,17.6,N/A,N/A,N/A,N/A
Colorado,8765385,152210,194820,7528365,130729,6990608,155374,3864323,67.1,3579519,79.6,3518233,61.1,3266414,72.6,4995885,3379700,389800,0,277815,2887506,4357514,5530,1325346,1917607,273690,1590,1321682,1670708,272489,1535,3247787,67.1,3579519,79.6,56.4,2997113,66.6,3864323,782531,92.9,720852,85.6,346084,352644,25252,568,1697894,201551,1040510,3852424,78,3510089,71.1,1325325,1909510,273665,1589,7508147,152108,177579,295161,8.4,294555,9,229223,31.8,180142,25,N/A,N/A,N/A,N/A
Connecticut,5976495,167630,210600,5287423,148303,4891480,172366,2789281,78.2,2578945,90.9,2506712,70.3,2325393,81.9,3328095,2368200,280200,0,209572,1894874,3181596,1381,889590,1407814,208895,413,889170,1227194,208718,311,2298914,78.2,2578945,90.9,64.5,2117758,74.6,2789281,650209,99.9,586525,93.1,231025,335700,20877,88,1362642,216209,948283,2787904,89.8,2506209,80.7,889359,1407627,208814,409,5285623,170178,192421,171600,6.8,171403,7.4,155344,26.5,129361,22.1,N/A,N/A,N/A,N/A
